episode,hic15_median,chest_g_median,hic15_mean,chest_g_mean,hic15_median_excl_explosion
100,30175.24058018948,1283.2312622070312,8071519.74042,7938.5429296875,15699.624336835353
200,33865.52303060319,1449.0653076171875,7912305.956056262,10389.236325683594,15160.815553004415
300,342749.3970135162,2209.8142700195312,7642751.1594156865,10926.778702697753,15987.404966032525
400,63737.24643702904,1771.4761352539062,7816942.250414448,10522.936903686523,15295.869273282238
500,32221.547086552662,1541.6423950195312,6150277.577092743,8171.4016070556645,15487.051829989534
600,1963988.581056232,4039.7579345703125,7187294.554276773,10649.809685668944,15819.046731365297
700,43373.659521897825,1610.648193359375,8134691.7527725445,9160.896600952148,15423.045591656282
800,3313671.4524649745,6063.6875,7822789.576658343,11440.036373901366,15355.11946244135
900,3082448.431528925,5898.312255859375,6830656.952256498,10522.273020629882,15742.06023049688
1000,68784.57777670343,2001.1939697265625,10937549.579064999,9716.120146789552,15514.680332780279
1100,43954.487318587446,1577.27490234375,8314323.654967669,9989.55810180664,15399.600265052904
1200,2048664.6984650055,4948.56103515625,11565275.288458593,10811.892019042969,16353.720779444124
1300,58824.76709171366,1601.4644775390625,3760205.6284158025,7395.362668457031,15087.795495108923
1400,42404.15952784961,1719.0957641601562,5585362.877926881,9406.69861328125,15986.867547829952
1500,44555.61990716457,1551.4702758789062,5602830.35434825,9789.059790649415,15102.337310183737
1600,3706921.187803961,8148.631103515625,9448738.522735147,12786.462733154296,15537.540909075735
1700,76285.33231357124,2142.59033203125,6647651.379797459,9532.093157958985,15693.621581494619
1800,2689646.0377498153,5637.228759765625,8959809.965528972,11289.585756225586,15892.663181299431
1900,2567276.6961563732,5869.62060546875,11090930.396976138,10994.179163818359,16044.254100013975
2000,3893180.895126044,6979.672607421875,7370048.321541426,10647.897494506837,15963.925199115427
2100,48654.935854288065,1623.4505615234375,7348152.038302252,9754.24821044922,15250.506987670145
2200,50041.35928832391,1583.6851806640625,6745636.362379022,9362.481472167969,15956.52212761905
2300,2737792.3583379528,5163.411865234375,6566125.456632645,11290.064916381836,15832.217965873728
2400,1747464.6793234108,4147.7181396484375,8492175.639002707,10636.228748779296,15479.512794229086
2500,63980.62829013441,1942.1456298828125,5457088.4573211325,9296.847646484375,18207.5880916194
2600,49367.0067544392,1826.6978149414062,5534885.262853881,9714.173780517578,15773.553503631443
2700,47169.57866456096,1811.2489624023438,7912456.627809402,8590.700258789062,15537.599876218814
2800,42199.540742646685,1587.4347534179688,7365037.478512523,9742.680451049804,15373.1124434319
2900,60738.642467498124,2302.3193359375,6404989.587835405,8917.078338623047,16000.179409720957
3000,1220389.6757368634,2753.2430419921875,9615228.782144235,11535.535579833984,15722.350561164412
3100,39427.33169139559,1583.404052734375,6198001.040302854,9361.501457519531,15250.452684094784
3200,1178443.0341212903,3337.3262939453125,7375940.307796981,9712.934993286133,15583.357251273224
3300,2699951.6089473125,6179.32275390625,11228871.96917956,10388.614531860352,16144.539221507186
3400,58700.725199793604,1705.088134765625,6059031.979916865,9037.025873413086,15200.916184533364
3500,68667.93209375345,2033.1007080078125,6532439.985050129,9199.016817016602,15566.494202645204
3600,825609.0723645259,2260.5361938476562,9529708.29663782,9098.22446472168,15910.016214575297
3700,50654.37485619052,1630.0675048828125,7398477.193901539,9362.93439453125,15217.105450076751
3800,41615.605489708934,1493.3693237304688,9163285.94616608,9938.143403320313,15169.7570131131
3900,33153.820200998154,1326.9918212890625,6825727.8460059455,9276.935201416016,15029.028713292511
4000,58884.88325477851,2154.3521728515625,8122526.058537506,10274.504258422852,15883.285567337802
