episode,hic15_median,chest_g_median,hic15_mean,chest_g_mean
100,30707.6674958039,1312.27197265625,5690182.301801895,8667.830561523437
200,34934.81638664599,1351.4193115234375,7609624.188181893,9294.940484008788
300,77321.6697793652,1910.4269409179688,6119859.195651249,8802.374575805665
400,49554.098828561895,1488.8015747070312,5960871.464273027,8794.211521606445
500,27162.1105379824,1116.2429809570312,4939782.003842209,7948.623140869141
600,2020421.658422804,3250.381103515625,11433816.226354627,10543.010631103516
700,46239.61327374542,1438.500732421875,5233803.663367815,8364.451145019531
800,1211313.784719069,3202.851318359375,8157699.7637252,10776.146514892578
900,2938615.242018137,5847.960205078125,9022834.370013602,10497.721066894532
1000,42266.78800577184,1578.3948974609375,6562967.339069934,8081.946643676758
1100,1544691.7871436384,3467.8529052734375,7671795.72913749,9498.578792114258
1200,617046.0673186495,2107.4867553710938,6423175.584952041,9692.714666137696
1300,48510.53009395886,1837.5811157226562,8869392.365243327,9977.74029663086
1400,72953.06327763028,2020.7335205078125,8404665.837409412,9816.133634033204
1500,30702.880933626424,1250.2965087890625,5239439.324385536,8582.755452270509
1600,39317.82414662726,1675.8140258789062,10546335.088167232,9505.026708984375
1700,204729.1031468166,2358.435791015625,6346471.979273616,10280.294686889649
1800,34007.11240855136,1322.7172241210938,5241609.543647233,8675.614263305664
1900,47006.138594976335,1690.0368041992188,11689466.255043004,11248.982224731446
2000,52818.896323424335,1769.9352416992188,4592009.658449852,7641.260879211426
2100,2448388.733655476,4953.117431640625,7815846.484232778,11038.748357543946
2200,77905.73436769206,1872.8082885742188,6296698.02231549,9783.722518310547
2300,463460.8183142788,2163.5828247070312,6203581.315071065,8495.731282958985
2400,1569440.615171424,4730.067626953125,7576965.564303866,11032.640894165039
2500,649551.9861573788,2616.218017578125,7643554.1812194595,10178.846368408203
2600,1977946.1364039355,4613.523193359375,12115430.01313538,10110.957665405273
2700,1524250.168904602,3602.46484375,9609087.419269549,10598.48023803711
2800,5130068.11298709,8436.982666015625,14069142.964239033,13294.045250854491
2900,54964.191027423716,1669.6724853515625,8016298.079942975,8691.970623779296
3000,29795.941642109767,1331.4043579101562,4839928.47573862,8306.670942382812
