episode,hic15_median,chest_g_median,hic15_mean,chest_g_mean
100,1221213.2392946836,2859.913818359375,9407496.985899452,11218.855549316406
200,42063.20945283766,1584.5164794921875,7286160.387662513,9490.521254882813
300,46382.32454663537,1485.6234130859375,7135945.954211635,9974.285735473633
400,2457569.023468727,5642.580322265625,8620189.54718005,10180.722152709961
500,42155.16258810964,1448.1806030273438,8375871.2846717145,8978.711464233398
600,28904.529605020707,1228.703857421875,6484736.10696791,6807.689329833985
700,2952860.94437167,5620.25341796875,8437244.546675714,10214.261622314452
800,589108.9343854726,2523.50146484375,7811465.097962069,9504.008813476563
900,37014.34754458735,1700.9779663085938,10366223.40584599,8186.949756469727
1000,2826998.769520415,7181.91455078125,7970878.373465607,12459.60556274414
1100,44680.262776191,2247.9674072265625,9089819.4398858,9912.019458618164
1200,3183148.2242929414,6455.529541015625,9226499.530844733,12189.292975463868
1300,49191.39513045463,1966.9996337890625,8767675.75962947,10202.867587890625
1400,48093.25764098913,1481.0125122070312,7328130.665832099,9445.829124145508
1500,762108.2911501594,2804.6287841796875,9350921.338637125,9063.784086914062
1600,44394.843636052436,1544.4164428710938,7809668.624486399,10209.073627929687
1700,64734.66975718799,2182.6065673828125,10385396.276204994,11012.489146118163
1800,40920.70874108438,1356.2980346679688,7297520.859457939,8492.229346923828
1900,40639.49954382614,1587.9264526367188,8700398.388419064,9909.195813598633
2000,516574.1936400578,1970.5748901367188,11765508.119438741,10477.174844970703
2100,43076.337009433926,1719.7490844726562,6447953.767379535,8824.165735473633
2200,2005397.3926621838,5638.10009765625,6570917.1681316355,10785.111285400391
2300,47804.956219171305,1809.7108154296875,8065398.332636432,10276.805615844727
2400,56234.90377361588,1698.5663452148438,9418662.23402479,9866.167065429687
2500,1669081.517668398,4431.523193359375,7923685.9831916895,10583.423858642578
2600,2437560.73739418,3451.034912109375,7347819.390314586,10677.693234252929
2700,2482359.388026767,4352.3314208984375,8480036.47718406,11739.14861328125
2800,2606582.9071057336,6256.798095703125,9688775.17431064,11312.526339111328
2900,3754213.723704027,7695.566162109375,8694030.112749139,12242.207620239258
3000,2236278.392930853,5136.834228515625,8995220.407340042,11922.231221313477
