episode,hic15_median,chest_g_median,hic15_mean,chest_g_mean,hic15_median_excl_explosion
100,1068298.6369357728,4366.8577880859375,10006341.795507144,10429.231979370117,15674.096512637629
200,39646.00152433559,1551.0052490234375,6236950.923707094,9407.76850402832,17848.3091993548
300,42840.87048408578,1713.297607421875,6353334.969338388,8856.933392333984,15313.443426072577
400,2746584.179443837,6402.09423828125,9388731.212569434,12288.927127075196,14925.711932124766
500,46650.871078595985,1693.6883544921875,10826859.03078225,8947.499460449219,15920.956223549412
600,31913.09303203106,1254.5794677734375,5966116.800568393,7727.198654174805,15634.798112771048
700,1568496.9463992175,3574.7763671875,10610385.705465037,11669.860540161133,16175.328320251965
800,2034436.9358446163,4588.39208984375,8129819.38965144,11220.492158813477,15446.256031565968
900,42734.15665433303,1397.7854614257812,8116931.042628231,7562.564011230469,15612.262542950128
1000,3039155.7828749297,6245.04150390625,9053550.444801534,10972.565196533204,15604.38698856219
1100,49080.06555498217,1721.2484130859375,7780520.062220786,11035.82355895996,15653.504640524483
1200,1775107.5602827987,3066.533935546875,7482018.922042962,10413.479005126954,15627.845152621696
1300,45870.08575282654,1653.48388671875,7520828.214261034,9862.651118774414,15428.83839861528
1400,54027.821072769264,1960.1776123046875,8341438.285467485,10180.483052978516,15804.325484905377
1500,78076.15794339307,1583.7433471679688,6662832.093720369,9577.316292114258,15490.468030414795
1600,45612.12101072173,1450.4156494140625,9789994.503377346,9539.682391357423,15907.788810390637
1700,55470.6723768432,1708.8157958984375,11935855.468769573,11192.855463256836,14733.710109122512
1800,36482.132149415964,1368.7254638671875,6862272.105061066,8987.033822631836,15448.960321544335
1900,27597.42165189887,1368.3084716796875,11052644.245421838,8900.503602294923,15005.069755519198
2000,296240.69581652386,1821.0411376953125,6741676.283470779,9256.120795898438,15767.23212001548
2100,38544.0072673856,1379.4940795898438,4180605.255041144,7148.674579467774,15094.05032270307
2200,1869265.4350345829,5442.62890625,7113258.918379891,10504.817879638671,15856.794115693316
2300,61456.490347459934,2074.884765625,7030807.852186671,10055.2012890625,16015.576202985061
2400,48677.311847237586,1959.0969848632812,6065533.71398821,9390.579221191407,16082.04663448522
2500,1665124.7839224313,3902.65185546875,9518089.432753075,11306.332150268554,15523.030066707686
2600,1810799.5657484257,4519.657958984375,11863229.920749502,12099.301204833984,15820.765123652673
2700,1697838.9665442188,2905.22705078125,7717693.96100636,9462.958826904296,15481.4370013774
2800,2270781.928388428,6102.36669921875,6135040.421959769,10364.570415039063,15589.761550574034
2900,3554720.1752473516,5863.32666015625,8828685.120775947,11604.621950073242,15436.185704765445
3000,1199875.678917743,2974.2725830078125,6364783.801697879,9730.209791259766,15765.780518780968
3100,37168.94117942391,1565.8566284179688,6945663.94474097,9581.181278076172,15569.777706885312
3200,34661.83259593412,1308.7275390625,12401268.692521837,8489.416345214844,15935.021815052394
3300,262590.017839387,2057.6952514648438,9691679.983208377,9691.910596313477,15679.237098532645
3400,843494.2478672612,2767.0821533203125,7176633.058960912,9275.063009033203,15889.491639956397
3500,2175357.211829387,5519.641845703125,10545340.485489413,11234.40729248047,15968.005532960911
3600,27792.70423342697,1356.3997802734375,6616739.961093422,8699.897502441407,15014.661739919375
3700,1453115.9909361848,3707.22412109375,6973333.478119032,11837.60264099121,15107.28556831621
3800,45891.806006637344,1771.120849609375,6615067.062132636,9774.02975402832,15943.3037467738
3900,68057.11826886116,1765.2006225585938,9104205.249476083,9865.763618774414,14740.92988925233
4000,743529.0971184934,2908.1121826171875,6629106.020875367,10494.87216796875,15825.07352207358
