episode,hic15_median,chest_g_median,hic15_mean,chest_g_mean
100,1883050.5649914783,3883.9224853515625,10988873.985596664,10436.669669799805
200,40780.2211793051,1527.1056518554688,6447321.7822653465,9373.824757080078
300,45778.82185956786,1855.3773803710938,7038190.13310936,9207.114080200196
400,3265640.9932115106,7120.109130859375,16258735.085586917,14190.54228881836
500,39878.26158285578,1576.7387084960938,6704071.622263665,8916.403072509765
600,27634.24007547777,1231.9595336914062,8263322.544357666,7488.872865600586
700,2193615.0900827046,3479.592529296875,8287789.680603672,9526.91708557129
800,1589048.071165134,3179.08935546875,5650410.158134513,8598.261230773925
900,37780.65400889152,1469.580322265625,4955020.809405617,8153.732002563476
1000,1467816.8623118573,4405.068603515625,6900989.266152426,10408.691016235352
1100,41806.05421803074,1526.0786743164062,6036731.235758883,8455.214636230468
1200,890562.1938201867,3449.5400390625,8464287.779349929,10334.22542541504
1300,49098.72065593056,1541.9306030273438,6839093.954324419,8098.099041137695
1400,52239.81443613408,1699.174072265625,7120057.36670472,8689.975327148437
1500,82331.72201750302,1721.1701049804688,5659903.9562924495,9649.93685119629
1600,43592.139668801654,1506.6507568359375,7967554.369271603,8989.31785949707
1700,55195.17843088905,1540.8707885742188,8259742.141973018,10313.033887939453
1800,45025.33029133873,1740.73193359375,6728754.591527614,8768.352516479492
1900,36697.01515630126,1401.6852416992188,9753450.146406557,10456.443627319335
2000,313159.23185649374,2004.3651733398438,9949720.037368918,10393.864185791015
2100,45355.018587258935,1715.92529296875,7306341.260386049,8416.947796020508
2200,1794220.2447591885,3688.351806640625,9455962.754081063,10681.059765014648
2300,42966.48875306758,1787.024658203125,10051961.679221233,10838.23467590332
2400,63499.83208011018,2037.837890625,9548308.03435895,10539.706763916016
2500,1930888.6864678478,3878.7049560546875,10817893.137276683,10969.81317565918
2600,3104517.839893771,5606.225830078125,10445076.928658755,11814.287674560546
2700,1234421.8014043092,3902.5343017578125,8960777.04848562,9939.74397216797
2800,2601957.904960611,4669.9365234375,13481926.819971675,11396.926486206055
2900,3114188.7972601913,6774.2939453125,10868167.403032165,11822.237880859375
3000,2123804.9704365185,3847.36328125,12483498.530237958,11814.50786315918
